locality,Year,house price
RINGWOOD EAST,2009,442000.00 
RINGWOOD NORTH,2009,488500.00 
RIPPLESIDE,2009,372500.00 
ROBINVALE,2009,185000.00 
ROCHESTER,2009,175000.00 
ROCKBANK,2009,215000.00 
ROMSEY,2009,302500.00 
ROSANNA,2009,586000.00 
ROSEBUD,2009,308000.00 
ROSEBUD SOUTH,2009,347500.00 
ROSEDALE,2009,165000.00 
ROWVILLE,2009,467500.00 
ROXBURGH PARK,2009,340000.00 
RUSHWORTH,2009,150000.00 
RUTHERGLEN,2009,176000.00 
RYE,2009,380000.00 
SAFETY BEACH,2009,409000.00 
SAILORS GULLY,2009,192500.00 
SALE,2009,250000.00 
SAN REMO,2009,362000.00 
SANCTUARY LAKES,2009,455500.00 
SANDHURST,2009,353500.00 
SANDRINGHAM,2009,1032500.00 
SANDY POINT,2009,300000.00 
SASSAFRAS,2009,427500.00 
SCORESBY,2009,396000.00 
SEA LAKE,2009,65000.00 
SEABROOK,2009,350000.00 
SEAFORD,2009,355000.00 
SEAHOLME,2009,663000.00 
SEASPRAY,2009,145000.00 
SEBASTOPOL,2009,212000.00 
SEDDON,2009,515000.00 
SELBY,2009,385000.00 
SEVILLE,2009,335500.00 
SEVILLE EAST,2009,317500.00 
SEYMOUR,2009,184000.00 
SHEPPARTON,2009,228500.00 
SHEPPARTON NORTH,2009,-
SHOREHAM,2009,692500.00 
SILVERLEAVES,2009,390000.00 
SKENES CREEK,2009,450000.00 
SKIPTON,2009,110000.00 
SKYE,2009,330000.00 
SMITHS BEACH,2009,325000.00 
SMYTHESDALE,2009,127500.00 
SOLDIERS HILL,2009,227500.00 
SOMERS,2009,495000.00 
SOMERVILLE,2009,326000.00 
SORRENTO,2009,680000.00 
SOUTH DUDLEY,2009,210500.00 
SOUTH GEELONG,2009,384500.00 
SOUTH KINGSVILLE,2009,509000.00 
SOUTH MELBOURNE,2009,918500.00 
SOUTH MORANG,2009,365000.00 
SOUTH YARRA,2009,1293000.00 
SPOTSWOOD,2009,507000.00 
SPRING GULLY,2009,296000.00 
SPRINGVALE,2009,408000.00 
SPRINGVALE SOUTH,2009,374000.00 
ST ALBANS,2009,310000.00 
ST ALBANS PARK,2009,268500.00 
ST ANDREWS BEACH,2009,522500.00 
ST ARNAUD,2009,125000.00 
ST HELENA,2009,490500.00 
ST KILDA,2009,825000.00 
ST KILDA EAST,2009,861000.00 
ST KILDA WEST,2009,1360000.00 
