,locality,Year,house price
751,WATERWAYS,2009,535000
752,WATSONIA,2009,431000
753,WATSONIA NORTH,2009,435000
754,WATTLE GLEN,2009,450000
755,WAURN PONDS,2009,375000
756,WEDDERBURN,2009,70000
757,WEIR VIEWS,2009,-
758,WENDOUREE,2009,205000
759,WENDOUREE WEST,2009,163500
760,WERRIBEE,2009,263500
761,WERRIBEE SOUTH,2009,420000
762,WESBURN,2009,278000
763,WEST FOOTSCRAY,2009,478000
764,WEST MELBOURNE,2009,762000
765,WEST WODONGA,2009,265000
766,WESTALL,2009,415000
767,WESTGARTH,2009,765000
768,WESTMEADOWS,2009,346000
769,WHEELERS HILL,2009,615000
770,WHITE HILLS,2009,220000
771,WHITTINGTON,2009,207500
772,WHITTLESEA,2009,330000
773,WILLAURA,2009,99000
774,WILLIAMS LANDING,2009,355000
775,WILLIAMSTOWN,2009,800000
776,WILLIAMSTOWN NORTH,2009,500000
777,WIMBLEDON HEIGHTS,2009,260000
778,WINCHELSEA,2009,206000
779,WINDSOR,2009,781500
780,WINTER VALLEY,2009,306000
781,WODONGA,2009,240000
782,WOLLERT,2009,403000
783,WONGA PARK,2009,667000
784,WONTHAGGI,2009,250000
785,WOODEND,2009,339500
786,WOOLAMAI WATERS,2009,280000
787,WOORI YALLOCK,2009,278000
788,WY YUNG,2009,269000
789,WYCHEPROOF,2009,115000
790,WYE RIVER,2009,635000
791,WYNDHAM VALE,2009,261000
792,YACKANDANDAH,2009,225000
793,YALLAMBIE,2009,442500
794,YALLOURN NORTH,2009,120000
795,YARRA GLEN,2009,370000
796,YARRA JUNCTION,2009,292000
797,YARRAGON,2009,196500
798,YARRAM,2009,180000
799,YARRAVILLE,2009,541000
800,YARRAWONGA,2009,270000
801,YEA,2009,214000
802,YINNAR,2009,183000
803,ABBOTSFORD,2010,736000
804,ABERFELDIE,2010,1046500
805,AINTREE,2010,-
806,AIREYS INLET,2010,606000
807,AIRPORT WEST,2010,575000
808,ALBANVALE,2010,320000
809,ALBERT PARK,2010,1167500
810,ALBION,2010,440000
811,ALEXANDRA,2010,230000
812,ALFREDTON,2010,316000
813,ALLANSFORD,2010,250500
814,ALPHINGTON,2010,1000000
815,ALTONA,2010,628500
816,ALTONA EAST,2010,571000
817,ALTONA MEADOWS,2010,385000
818,ALTONA NORTH,2010,515000
819,ANGLESEA,2010,580000
820,APOLLO BAY,2010,442500
